"loc_id","latitude","longitude","Prov","region","BlockCode","bcr"
"L18846",44.75,-81.15,"ON","ON","17TMK",13
"L19057",47.95,-69.2,"QC","QC","19TDP",14
"L19058",44.3,-76.983333,"ON","ON","18TUQ",13
"L19059",47.81667,-79.866667,"ON","ON","17TNN",12
"L19060",49.191,-68.275,"QC","QC","19UEQ",8
"L19075",52.43333,-103.85,"SK","PR","13UEU",6
"L18847",43.377,-80.312,"ON","ON","17TNJ",13
"L18848",43.711,-79.362,"ON","ON","17TPJ",13
"L19076",42.966,-81.269,"ON","ON","17TMH",13
"L18849",46.9076,-71.317363,"QC","QC","19TCM",12
"L18850",43.95562,-79.42261,"ON","ON","17TPJ",13
"L19077",43.517,-80.551,"ON","ON","17TNJ",13
"L19078",44.96667,-64.066667,"NS","AT","20TMQ",14
"L19079",45.05,-73.583333,"QC","QC","18TXQ",13
"L18851",44.61667,-65.566667,"NS","AT","20TKQ",14
"L19080",48.75,-92.616667,"ON","ON","15TWP",12
"L18852",44.06667,-80.2,"ON","ON","17TNJ",13
"L18853",44.251,-76.471,"ON","ON","18TUQ",13
"L19081",44.721,-63.715,"NS","AT","20TMQ",14
"L19082",44.719,-63.519,"NS","AT","20TMQ",14
"L18854",46.3,-70.883333,"QC","QC","19TCM",14
"L18869",52.469,-113.737,"AB","PR","12UUD",11
"L71548",52.469,-113.737,"AB","PR","12UUD",11
"L19083",49.8168316,-97.1444178,"MB","PR","14UPA",11
"L19084",45.412,-75.634,"ON","ON","18TVR",13
"L19085",52.1103675,-106.6238676,"SK","PR","13UCT",11
"L19086",45.74464,-64.740243,"NB","AT","20TLR",14
"L19087",45.363,-75.689,"ON","ON","18TVR",13
"L18870",44.13333,-79.466667,"ON","ON","17TPJ",13
"L19088",45.44074,-73.678207,"QC","QC","18TXR",13
"L71549",44.66667,-63.9,"NS","AT","20TMQ",14
"L19102",43.164,-79.245,"ON","ON","17TPH",13
"L19103",50.249,-119.254,"BC","BC","11ULR",9
"L18871",49.256,-122.856,"BC","BC","10UEV",5
"L19104",46.1,-71.816667,"QC","QC","19TBM",14
"L18872",45.63333,-74.333333,"QC","QC","18TWR",13
"L19105",43.26667,-81.133333,"ON","ON","17TMH",13
"L18873",43.31667,-80.833333,"ON","ON","17TNH",13
"L19106",43.843,-79.003,"ON","ON","17TPJ",13
"L18874",44.1,-78.816667,"ON","ON","17TPJ",13
"L19107",43.917,-78.685,"ON","ON","17TPJ",13
"L18875",45.5828407,-73.5462411,"QC","QC","18TXR",13
"L18876",46.3113635,-70.8702868,"QC","QC","19TCM",14
"L18877",45.46604,-76.080565,"ON","ON","18TVR",13
"L18878",50.708,-120.382,"BC","BC","10UFB",9
"L19108",45.501,-73.806,"QC","QC","18TWR",13
"L71550",46.2,-73.6,"QC","QC","18TXS",12
"L18879",49.038,-122.827,"BC","BC","10UEV",5
"L19109",45.3796723,-75.9570055,"ON","ON","18TVR",13
"L19110",45.637,-73.838,"QC","QC","18TWR",13
"L18880",49.839,-119.445,"BC","BC","11ULR",9
"L18881",51.76667,-121.1,"BC","BC","10UFC",10
"L19111",55.1,-105.28333,"SK","PR","13UDB",8
"L19112",45.957,-66.655,"NB","AT","19TFL",14
"L19113",45.86667,-65.833333,"NB","AT","20TKR",14
"L71551",45.71667,-65.516667,"NB","AT","20TLR",14
"L19114",46.237,-63.129,"PE","AT","20TMS",14
"L19115",45.033623,-76.5054417,"ON","ON","18TUQ",12
"L19130",50.45,-119.2,"BC","BC","11ULR",9
"L19131",46.208,-62.821,"PE","AT","20TNS",14
"L18896",52.36667,-126.76667,"BC","BC","09UXU",5
"L18897",47.55,-68.65,"QC","QC","19TEN",14
